,x,y
0,500,0.142
1,1000,0.13
2,1500,0.14333333333333334
3,2000,0.132
4,2500,0.1396
5,3000,0.14166666666666666
6,3500,0.14685714285714285
7,4000,0.14375
8,4500,0.14244444444444446
9,5000,0.1516
10,5500,0.14636363636363636
11,6000,0.14833333333333334
12,6500,0.14184615384615384
13,7000,0.1492857142857143
14,7500,0.14826666666666666
15,8000,0.146625
16,8500,0.14458823529411766
17,9000,0.14155555555555555
18,9500,0.13473684210526315
19,10000,0.1424
20,10500,0.1382857142857143
21,11000,0.1400909090909091
22,11500,0.14269565217391306
23,12000,0.14775
24,12500,0.14272
25,13000,0.14361538461538462
26,13500,0.14496296296296296
27,14000,0.1427857142857143
28,14500,0.1433793103448276
29,15000,0.145
30,15500,0.14935483870967742
31,16000,0.14025
32,16500,0.14175757575757575
33,17000,0.14211764705882354
34,17500,0.14262857142857144
35,18000,0.14322222222222222
36,18500,0.14302702702702702
37,19000,0.1451578947368421
38,19500,0.14687179487179486
39,20000,0.1469
40,20500,0.1441951219512195
41,21000,0.1437142857142857
42,21500,0.14669767441860465
43,22000,0.1434090909090909
44,22500,0.14351111111111112
45,23000,0.14
46,23500,0.14374468085106382
47,24000,0.14233333333333334
48,24500,0.1433469387755102
49,25000,0.1464
50,25500,0.14294117647058824
51,26000,0.14407692307692307
52,26500,0.14452830188679244
53,27000,0.14155555555555555
54,27500,0.14356363636363637
55,28000,0.1457142857142857
56,28500,0.14263157894736841
57,29000,0.14293103448275862
58,29500,0.1396949152542373
59,30000,0.1422
60,30500,0.14314754098360655
61,31000,0.14680645161290323
62,31500,0.14177777777777778
63,32000,0.1424375
64,32500,0.14264615384615384
65,33000,0.14015151515151514
66,33500,0.14238805970149254
67,34000,0.1446470588235294
68,34500,0.1408985507246377
69,35000,0.14811428571428573
70,35500,0.14374647887323944
71,36000,0.14197222222222222
72,36500,0.14698630136986301
73,37000,0.14251351351351352
74,37500,0.14224
75,38000,0.1446578947368421
76,38500,0.14137662337662338
77,39000,0.14433333333333334
78,39500,0.13989873417721518
79,40000,0.146375
80,40500,0.14582716049382716
81,41000,0.143390243902439
82,41500,0.14506024096385542
83,42000,0.14473809523809525
84,42500,0.14388235294117646
85,43000,0.14516279069767443
86,43500,0.14517241379310344
87,44000,0.1434090909090909
88,44500,0.14507865168539325
89,45000,0.1446888888888889
90,45500,0.14575824175824176
91,46000,0.1446086956521739
92,46500,0.14027956989247312
93,47000,0.1422340425531915
94,47500,0.14410526315789474
95,48000,0.14627083333333332
96,48500,0.14218556701030927
97,49000,0.14353061224489796
98,49500,0.14412121212121212
99,50000,0.14272
