,x,y
0,500,0.0
1,1000,0.002
2,1500,0.0
3,2000,0.0
4,2500,0.0
5,3000,0.0003333333333333333
6,3500,0.0
7,4000,0.00025
8,4500,0.00022222222222222223
9,5000,0.0
10,5500,0.0
11,6000,0.0
12,6500,0.0
13,7000,0.0
14,7500,0.00013333333333333334
15,8000,0.0
16,8500,0.0
17,9000,0.0
18,9500,0.00010526315789473685
19,10000,0.0001
20,10500,0.0
21,11000,0.0001818181818181818
22,11500,0.0002608695652173913
23,12000,0.0
24,12500,8e-05
25,13000,0.0
26,13500,7.407407407407407e-05
27,14000,0.0
28,14500,6.896551724137931e-05
29,15000,6.666666666666667e-05
30,15500,6.451612903225807e-05
31,16000,0.0
32,16500,0.0
33,17000,0.00011764705882352942
34,17500,5.714285714285714e-05
35,18000,5.555555555555556e-05
36,18500,5.4054054054054054e-05
37,19000,0.0
38,19500,0.00015384615384615385
39,20000,5e-05
40,20500,9.75609756097561e-05
41,21000,4.761904761904762e-05
42,21500,4.651162790697674e-05
43,22000,0.0
44,22500,4.4444444444444447e-05
45,23000,4.347826086956522e-05
46,23500,8.510638297872341e-05
47,24000,4.1666666666666665e-05
48,24500,0.0
49,25000,0.0
50,25500,7.843137254901961e-05
51,26000,7.692307692307693e-05
52,26500,3.7735849056603776e-05
53,27000,7.407407407407407e-05
54,27500,3.6363636363636364e-05
55,28000,3.571428571428572e-05
56,28500,0.00014035087719298245
57,29000,6.896551724137931e-05
58,29500,0.0
59,30000,3.3333333333333335e-05
60,30500,3.278688524590164e-05
61,31000,6.451612903225807e-05
62,31500,0.00012698412698412698
63,32000,0.00015625
64,32500,0.0
65,33000,6.0606060606060605e-05
66,33500,8.955223880597016e-05
67,34000,2.9411764705882354e-05
68,34500,5.797101449275362e-05
69,35000,5.714285714285714e-05
70,35500,8.450704225352113e-05
71,36000,0.00011111111111111112
72,36500,5.479452054794521e-05
73,37000,5.4054054054054054e-05
74,37500,5.333333333333333e-05
75,38000,7.894736842105263e-05
76,38500,0.0001818181818181818
77,39000,5.128205128205128e-05
78,39500,5.0632911392405066e-05
79,40000,5e-05
80,40500,2.4691358024691357e-05
81,41000,4.878048780487805e-05
82,41500,7.228915662650602e-05
83,42000,7.142857142857143e-05
84,42500,2.3529411764705884e-05
85,43000,4.651162790697674e-05
86,43500,2.2988505747126437e-05
87,44000,4.545454545454545e-05
88,44500,0.0
89,45000,2.2222222222222223e-05
90,45500,6.593406593406593e-05
91,46000,4.347826086956522e-05
92,46500,4.301075268817204e-05
93,47000,4.2553191489361704e-05
94,47500,4.210526315789474e-05
95,48000,6.25e-05
96,48500,2.0618556701030927e-05
97,49000,0.00010204081632653062
98,49500,0.00010101010101010101
99,50000,8e-05
100,50500,7.920792079207921e-05
101,51000,9.80392156862745e-05
102,51500,7.766990291262136e-05
103,52000,3.846153846153846e-05
104,52500,5.714285714285714e-05
105,53000,7.547169811320755e-05
106,53500,5.607476635514019e-05
107,54000,3.7037037037037037e-05
108,54500,3.6697247706422016e-05
109,55000,3.6363636363636364e-05
110,55500,9.009009009009009e-05
111,56000,0.00010714285714285714
112,56500,7.079646017699115e-05
113,57000,7.017543859649122e-05
114,57500,3.478260869565217e-05
115,58000,1.7241379310344828e-05
116,58500,3.418803418803419e-05
117,59000,6.779661016949152e-05
118,59500,8.403361344537815e-05
119,60000,1.6666666666666667e-05
120,60500,4.958677685950413e-05
121,61000,3.278688524590164e-05
122,61500,3.252032520325203e-05
123,62000,3.2258064516129034e-05
124,62500,4.8e-05
125,63000,4.761904761904762e-05
126,63500,3.1496062992125985e-05
127,64000,6.25e-05
128,64500,1.5503875968992248e-05
129,65000,6.153846153846154e-05
130,65500,9.16030534351145e-05
131,66000,0.0
132,66500,9.022556390977444e-05
133,67000,4.477611940298508e-05
134,67500,5.925925925925926e-05
135,68000,4.411764705882353e-05
136,68500,4.37956204379562e-05
137,69000,4.347826086956522e-05
138,69500,5.755395683453237e-05
139,70000,5.714285714285714e-05
140,70500,7.092198581560284e-05
141,71000,4.225352112676056e-05
142,71500,4.195804195804196e-05
143,72000,1.388888888888889e-05
144,72500,8.275862068965517e-05
145,73000,9.58904109589041e-05
146,73500,5.4421768707482996e-05
147,74000,0.00010810810810810811
148,74500,9.395973154362417e-05
149,75000,2.6666666666666667e-05
150,75500,5.298013245033112e-05
151,76000,5.2631578947368424e-05
152,76500,2.61437908496732e-05
153,77000,3.896103896103896e-05
154,77500,5.161290322580645e-05
155,78000,5.128205128205128e-05
156,78500,5.0955414012738855e-05
157,79000,6.329113924050633e-05
158,79500,5.0314465408805034e-05
159,80000,8.75e-05
